비트코인,4,363,000원,-25,000원 (-0.57 %),,75조 3453억,,,
이더리움,117,500원,-4,300원 (-3.53 %),,12조 0596억,,,
대시,87,900원,-5,400원 (-5.79 %),,7436억,,,
라이트코인,33,990원,-520원 (-1.51 %),,2조 0044억,,,
이더리움 클래식,4,722원,-239원 (-4.82 %),,4999억,,,
리플,387원,-8원 (-2.03 %),,15조 4486억,,,
비트코인 캐시,145,600원,-24,700원 (-14.50 %),,2조 5168억,,,
모네로,59,700원,-2,300원 (-3.71 %),,9836억,,,
제트캐시,76,100원,-5,400원 (-6.63 %),,4077억,,,
퀀텀,2,116원,-42원 (-1.95 %),,1881억,,,
비트코인 골드,16,970원,-1,080원 (-5.98 %),,2943억,,,
이오스,2,500원,-145원 (-5.48 %),,2조 2572억,,,
아이콘,272원,-13원 (-4.56 %),,1286억,,,
비체인,9.09원,-0.41원 (-4.32 %),,2936억,,,
트론,16.30원,+0.10원 (+0.62 %),,1조 0725억,,,
엘프,138원,+1원 (+0.73 %),,386억,,,
미스릴,106원,-9원 (-7.83 %),,444억,,,
크립토닷컴,2,637원,-44원 (-1.64 %),,421억,,,
오미세고,1,586원,-88원 (-5.26 %),,2211억,,,
카이버 네트워크,184원,-11원 (-5.64 %),,244억,,,
골렘,92.20원,-9.80원 (-9.61 %),,862억,,,
에이치쉐어,2,127원,+431원 (+25.41 %),,1099억,,,
질리카,17.80원,-0.50원 (-2.73 %),,1426억,,,
에토스,881원,-44원 (-4.76 %),,107억,,,
텐엑스,1,102원,-54원 (-4.67 %),,341억,,,
왁스,105원,0원 (0.00 %),,689억,,,
파워렛저,313원,-15원 (-4.57 %),,361억,,,
루프링,349원,-18원 (-4.90 %),,415억,,,
기프토,82.30원,-4.80원 (-5.51 %),,179억,,,
스팀,1,801원,+16원 (+0.90 %),,1012억,,,
스트라티스,1,846원,+97원 (+5.55 %),,894억,,,
제로엑스,398원,-11원 (-2.69 %),,2186억,,,
어거,49,200원,-2,800원 (-5.38 %),,935억,,,
애터니티,1,315원,+21원 (+1.62 %),,1086억,,,
넴,87.80원,+0.40원 (+0.46 %),,7829억,,,
스테이터스네트워크토큰,129원,+2원 (+1.57 %),,695억,,,
에이다,73.80원,-4.10원 (-5.26 %),,1조 0269억,,,
파퓰러스,1,785원,-31원 (-1.71 %),,959억,,,
코르텍스,135원,-7원 (-4.93 %),,202억,,,
사이버마일즈,40.30원,-4.70원 (-10.44 %),,314억,,,
쎄타토큰,65.00원,-6.60원 (-9.22 %),,463억,,,
월튼체인,1,319원,-36원 (-2.66 %),,521억,,,
아이오티체인,158원,+14원 (+9.72 %),,98억,,,
트루체인,270원,-23원 (-7.85 %),,125억,,,
아크블록,94.00원,-1.80원 (-1.88 %),,93억,,,
원루트 네트워크,58.90원,-13.40원 (-18.53 %),,144억,,,
플레이코인,41.50원,-0.30원 (-0.72 %),,58억,,,
웨이브,2,144원,-127원 (-5.59 %),,2116억,,,
체인링크,297원,-31원 (-9.45 %),,1041억,,,
엔진코인,31.80원,-0.10원 (-0.31 %),,232억,,,
프리마스,133원,+1원 (+0.76 %),,67억,,,
솔트,281원,-53원 (-15.87 %),,227억,,,
레이든네트워크토큰,283원,-5원 (-1.74 %),,142억,,,
룸네트워크,57.50원,-0.90원 (-1.54 %),,344억,,,
비에이치피캐시,773원,+28원 (+3.76 %),,258억,,,
피벡스,783원,-34원 (-4.16 %),,443억,,,
아이앤에스,300원,+12원 (+4.17 %),,96억,,,
비트코인 다이아몬드,981원,-75원 (-7.10 %),,1496억,,,
베잔트,29.40원,-4.60원 (-13.53 %),,154억,,,
스텔라루멘,154원,-10원 (-6.10 %),,2조 9502억,,,
오디세이,3.90원,-0.17원 (-4.18 %),,183억,,,
비트코인에스브이,101,600원,+4,100원 (+4.21 %),,1조 7844억,,,
더마이다스터치골드,13.10원,+0.50원 (+3.97 %),,79억,,,
베이직어텐션토큰,172원,-3원 (-1.71 %),,2021억,,,
위쇼토큰 NEW,23.40원,-3.50원 (-13.01 %),,35억,,,
버지 NEW,7.89원,-0.01원 (-0.13 %),,1147억,,,
